vhf_repository_id,vhf_code_id,publication_datetime,value,applies_from_datetime,applies_to_datetime,forward_period,forward_year
184950104,45683,15/12/2021 13:19,72.73,15/12/2021 13:18,15/12/2021 13:19,3,2022
184950098,45685,15/12/2021 13:19,72.73,15/12/2021 13:18,15/12/2021 13:19,3,2022
184950092,45684,15/12/2021 13:19,72.78,15/12/2021 13:18,15/12/2021 13:19,3,2022
184950086,45686,15/12/2021 13:19,72.74,15/12/2021 13:18,15/12/2021 13:19,3,2022
184950075,45682,15/12/2021 13:19,95,15/12/2021 13:18,15/12/2021 13:19,2,2022
184950070,45678,15/12/2021 13:19,72.82,15/12/2021 13:18,15/12/2021 13:19,2,2022
184950065,45680,15/12/2021 13:19,72.82,15/12/2021 13:18,15/12/2021 13:19,2,2022
184950060,45679,15/12/2021 13:19,72.87,15/12/2021 13:18,15/12/2021 13:19,2,2022
184950055,45681,15/12/2021 13:19,72.83,15/12/2021 13:18,15/12/2021 13:19,2,2022
184950049,45707,15/12/2021 13:19,10,15/12/2021 13:18,15/12/2021 13:19,3,2022
184950043,45703,15/12/2021 13:19,69.31,15/12/2021 13:18,15/12/2021 13:19,3,2022
184950037,45705,15/12/2021 13:19,69.31,15/12/2021 13:18,15/12/2021 13:19,3,2022
184950031,45704,15/12/2021 13:19,69.35,15/12/2021 13:18,15/12/2021 13:19,3,2022
184950025,45706,15/12/2021 13:19,69.33,15/12/2021 13:18,15/12/2021 13:19,3,2022
184950018,45702,15/12/2021 13:19,114,15/12/2021 13:18,15/12/2021 13:19,2,2022
184950012,45698,15/12/2021 13:19,69.57,15/12/2021 13:18,15/12/2021 13:19,2,2022
184950006,45700,15/12/2021 13:19,69.57,15/12/2021 13:18,15/12/2021 13:19,2,2022
184950000,45699,15/12/2021 13:19,69.64,15/12/2021 13:18,15/12/2021 13:19,2,2022
184949994,45701,15/12/2021 13:19,69.59,15/12/2021 13:18,15/12/2021 13:19,2,2022
184949987,45697,15/12/2021 13:19,270,15/12/2021 13:18,15/12/2021 13:19,1,2022
184949981,45693,15/12/2021 13:19,69.78,15/12/2021 13:18,15/12/2021 13:19,1,2022
184949975,45695,15/12/2021 13:19,69.78,15/12/2021 13:18,15/12/2021 13:19,1,2022
184949969,45694,15/12/2021 13:19,69.86,15/12/2021 13:18,15/12/2021 13:19,1,2022
184949963,45696,15/12/2021 13:19,69.81,15/12/2021 13:18,15/12/2021 13:19,1,2022
184950356,45742,15/12/2021 13:18,16,15/12/2021 13:17,15/12/2021 13:18,1,2022
184950350,45738,15/12/2021 13:18,2.089,15/12/2021 13:17,15/12/2021 13:18,1,2022
184950344,45740,15/12/2021 13:18,2.0848,15/12/2021 13:17,15/12/2021 13:18,1,2022
184950338,45739,15/12/2021 13:18,2.089,15/12/2021 13:17,15/12/2021 13:18,1,2022
184950332,45741,15/12/2021 13:18,2.085,15/12/2021 13:17,15/12/2021 13:18,1,2022
184950321,45737,15/12/2021 13:18,5,15/12/2021 13:17,15/12/2021 13:18,3,2022
